i,Segment (i),Core,Muscle,Fat,Skin
1,Head,2.576,0.386,0.258,0.282
2,Chest,2.915,5.669,1.496,0.418
3,Back,2.471,5.022,1.322,0.386
4,Pelvis,6.017,7.997,2.102,0.606
5,L-shoulder,0.503,1.078,0.207,0.151
6,R-shoulder,0.503,1.078,0.207,0.151
7,L-arm,0.321,0.681,0.131,0.099
8,R-arm,0.321,0.681,0.131,0.099
9,L-head,0.082,0.037,0.052,0.099
10,R-head,0.082,0.037,0.052,0.099
11,L-thigh,1.665,3.604,0.560,0.423
12,R-thigh,1.665,3.604,0.560,0.423
13,L-leg,0.793,1.715,0.268,0.204
14,R-leg,0.793,1.715,0.268,0.204
15,L-foot,0.139,0.037,0.077,0.125
16,R-foot,0.139,0.037,0.077,0.125
17,Central blood,0,0,0,2.610
